created_on,campaign,device_id
12/27/16 8:51,ZDNTT7,3063
12/28/16 8:42,15R3D0,1711
2/16/16 13:32,Y59GNL,2604
12/25/16 18:26,T8RNOQ,3559
12/17/15 3:28,OGMRY2,3915
10/9/16 20:38,6JI9BO,4459
2/6/17 5:49,TI1ZOJ,1118
9/24/16 8:38,YEB8I4,909
12/8/16 10:03,ZBW0OM,3351
1/2/16 11:18,XGB35V,2509
9/7/16 22:56,0837KH,3599
12/10/16 1:42,ZBW0OM,216
7/25/15 22:32,S1LZNC,1454
3/2/16 22:43,3J5HIF,870
6/12/16 5:48,OXIJAT,3500
11/6/15 9:21,DMWLE1,3719
10/31/16 13:04,YEB8I4,2165
6/25/16 18:53,1LYW47,1922
4/16/15 14:17,HEXXCK,3697
5/28/14 11:32,OKAJCV,2653
2/23/16 12:18,6HBW2A,4458
9/6/16 7:32,1LYW47,941
6/6/16 15:07,OKAJCV,4701
2/1/16 7:07,9XR7SO,4628
12/2/16 21:06,SE5X9U,1592
10/7/15 16:28,SE5X9U,3271
12/19/13 2:02,8DYGHW,4828
7/9/14 12:48,AKO0SH,3173
11/4/15 14:16,88UQUQ,2461
8/2/16 14:39,QSY7GR,3655
11/20/15 5:12,6R883F,487
10/28/16 13:15,HEXXCK,1735
5/12/16 1:42,7377FX,4725
7/22/16 22:37,VX597U,147
10/1/15 22:35,4YEH04,3573
2/18/17 21:06,T8RNOQ,3391
6/15/16 16:43,RK2JMQ,2970
11/22/14 8:30,0IBF68,1018
9/25/16 15:50,QY02HA,3995
2/9/17 11:40,QSY7GR,8
2/24/17 4:17,VX597U,4531
1/23/17 11:44,72C6Y3,968
2/23/16 5:36,OKAJCV,3574
4/15/16 1:43,WELZTZ,903
7/21/16 22:54,3DNOOD,1853
2/29/16 21:23,D48AHX,1515
1/23/17 15:46,VB9NP0,4986
3/2/16 3:47,FE91LN,4779
6/11/16 6:40,9XR7SO,2417
6/15/15 3:41,U3J25C,43
11/9/13 15:10,LASSQ7,4419
10/18/16 15:53,HLE0F9,2206
12/18/16 20:22,4YEH04,1848
5/28/15 10:13,EJ2PRK,4858
1/17/17 6:32,UYDA8D,1781
1/10/15 2:39,FV36OA,3784
6/29/16 22:51,1TNQYO,2684
5/13/16 13:45,83RCJF,2936
2/6/16 11:14,WELZTZ,2440
1/3/17 9:35,YUHQJ6,808
1/12/15 22:24,6H7SPL,3734
4/8/16 13:55,PVPBJ0,942
2/26/17 10:05,FE91LN,899
1/11/17 6:40,6H7SPL,3158
12/24/16 0:09,1ZDQF0,2077
8/2/16 12:01,MOTVAN,4729
9/13/16 19:29,WL07ZB,4567
12/6/15 10:56,OKAJCV,4618
2/13/15 12:50,RK2JMQ,140
1/1/17 10:09,EH7LXL,937
2/23/16 10:08,VOR12L,1472
10/28/16 17:59,OGMRY2,2580
1/11/15 3:14,6XC4I2,3216
2/8/17 8:42,98WM2K,4167
9/20/16 12:06,705605,246
12/24/16 10:07,Y59GNL,4539
3/26/16 21:40,EH7LXL,227
11/10/15 18:29,6R883F,3454
5/21/16 14:43,LASSQ7,4903
10/29/16 19:47,7377FX,1307
4/11/15 23:48,U6S82Y,2143
4/28/15 13:00,5IHLGC,3322
1/25/17 14:12,AEJF2Y,2499
10/27/16 16:38,VOR12L,4608
12/9/14 21:44,FE91LN,3012
9/5/16 16:32,5MNE1Q,4085
10/27/16 16:49,PVPBJ0,3015
7/2/15 8:48,T6E9B9,4514
2/15/17 6:48,U6S82Y,4765
11/30/16 1:14,QSY7GR,4935
2/20/17 20:38,9XR7SO,4089
9/1/16 2:16,72C6Y3,1729
11/13/15 2:54,5MNE1Q,3737
12/29/16 9:58,FV36OA,1752
1/2/15 22:50,6HBW2A,112
12/11/16 17:47,6R883F,2237
1/25/17 5:59,XGB35V,3348
12/3/15 4:11,HLWXVF,3302
1/26/17 19:16,D2KOV6,1497
2/11/16 9:01,HLWXVF,1086
11/30/13 18:28,6H7SPL,3825
1/22/17 20:13,MOTVAN,4667
8/24/15 17:21,VX597U,1564
10/10/16 10:58,6H7SPL,145
8/11/16 4:24,QSY7GR,4870
1/1/17 10:43,1BRIGC,1938
7/1/14 20:56,DB2JA9,3040
9/12/16 1:48,CPIAHO,1518
2/1/17 11:55,SE5X9U,4506
7/30/16 10:37,T8RNOQ,2035
4/5/16 15:13,72C6Y3,4785
6/10/16 11:42,1TZQDZ,62
3/6/14 23:31,4YEH04,3185
12/11/16 18:52,QE0LB4,2121
8/17/16 7:12,RU7BDI,2957
9/13/16 7:25,2IIPKA,9
10/18/16 4:28,AEJF2Y,2585
7/6/15 1:07,9NCC6I,2403
7/3/16 12:07,15R3D0,458
1/18/17 8:33,TI1ZOJ,3197
12/9/16 21:58,DGLPMQ,3524
2/11/17 12:19,D8IC8B,4999
4/18/16 7:11,8DYGHW,4869
11/17/15 5:53,6XC4I2,1447
10/21/15 14:38,BW2R0T,107
6/18/15 6:04,ZBW0OM,454
12/2/14 18:48,AKO0SH,3151
11/15/16 5:35,RVHAGO,81
2/21/16 12:58,0837KH,975
4/6/16 19:11,BW2R0T,2934
11/12/16 22:57,3DNOOD,3646
6/12/14 23:37,FE91LN,1919
11/17/15 7:34,VX597U,416
2/20/17 16:30,3DNOOD,2337
11/10/16 8:15,3J5HIF,2667
12/30/15 17:03,DGLPMQ,944
5/24/15 4:45,CXY554,1293
11/22/15 6:06,Y59GNL,725
2/15/16 11:00,5IHLGC,1717
7/25/15 17:49,C4KVI2,3113
11/22/15 15:07,TVGAEO,2045
7/28/16 4:16,9NCC6I,1299
11/15/14 23:18,EH7LXL,2975
3/2/16 2:26,WELZTZ,4266
6/29/15 22:46,HLE0F9,3924
5/11/16 5:10,GCP82I,1225
1/15/16 22:03,5IHLGC,661
5/28/16 12:57,2IIPKA,3773
11/5/16 19:01,SE5X9U,2968
1/15/17 16:55,1BRIGC,3725
11/5/16 2:25,5MNE1Q,796
2/23/16 6:13,WL07ZB,3111
7/20/14 15:46,OXIJAT,474
1/21/16 8:17,9VTGJV,4100
8/2/16 7:00,RVHAGO,515
1/6/17 6:38,Y59GNL,385
1/7/17 9:07,1TNQYO,4478
6/1/16 9:21,RU7BDI,1095
3/17/16 5:41,9VTGJV,3583
6/13/15 4:26,T8RNOQ,4898
1/27/17 18:57,QSY7GR,2690
2/11/16 9:25,WELZTZ,804
2/15/17 11:46,FE91LN,3357
6/24/15 18:23,6HBW2A,4189
1/15/15 15:08,D8IC8B,2791
12/26/16 4:54,S1LZNC,840
10/24/15 3:22,VB9NP0,2319
2/27/17 22:50,I5UB5Y,505
7/17/16 11:32,RVHAGO,4483
9/14/16 18:07,2IIPKA,2549
4/18/16 2:57,C4KVI2,3011
7/20/16 7:32,7377FX,2085
2/5/14 4:19,9XR7SO,3008
8/30/16 1:44,72C6Y3,3918
8/28/16 5:03,83RCJF,842
2/23/15 19:38,TI1ZOJ,7
1/30/17 15:29,7377FX,2858
12/31/16 20:56,9XR7SO,2756
4/18/16 21:12,EJ2PRK,4617
4/25/14 10:36,D8IC8B,2965
2/28/17 2:20,EJ2PRK,2464
12/26/16 21:04,HEXXCK,3051
6/18/16 16:36,S1LZNC,4808
9/3/15 23:02,6H7SPL,4880
8/23/16 21:07,QE0LB4,409
3/20/16 7:19,6H7SPL,1950
2/12/17 16:50,A20MP6,732
2/21/15 22:23,1TZQDZ,4450
10/3/15 22:51,6HBW2A,529
9/6/16 11:09,1BRIGC,2154
2/21/17 6:10,OXIJAT,1009
2/6/16 8:32,XUL7TT,4940
5/26/16 5:08,QY02HA,4241
9/17/16 8:51,CPIAHO,3396
1/12/17 2:44,D8IC8B,1476
1/1/17 23:03,QSY7GR,4127
2/25/17 18:17,3DNOOD,1155
3/10/16 3:58,QSY7GR,1435
1/11/17 1:36,CXY554,1297
12/17/16 11:43,SE5X9U,1769
8/1/14 17:41,RK2JMQ,120
1/22/17 1:35,AEJF2Y,1048
12/25/16 23:31,U6S82Y,1954
12/26/16 18:27,OKAJCV,3294
10/27/16 17:28,WELZTZ,1722
7/7/16 6:29,BW2R0T,4571
10/22/16 7:20,DB2JA9,686
7/18/14 10:26,DMWLE1,3519
7/2/16 11:02,Y59GNL,2864
11/23/16 10:09,1TNQYO,3594
2/28/17 18:39,IWTQ5T,1235
3/4/16 21:01,5IHLGC,516
11/12/15 4:28,YUHQJ6,1369
9/2/16 2:03,Y59GNL,3055
6/3/16 3:54,VX597U,578
9/2/15 18:01,FV36OA,3078
1/13/17 1:43,OGMRY2,1798
11/23/14 18:25,A20MP6,4738
10/11/16 23:00,72C6Y3,3516
11/16/14 19:42,ZZGRSM,2969
6/8/16 21:58,PVPBJ0,334
8/25/16 9:00,3DNOOD,1739
8/18/14 19:18,WELZTZ,1131
5/10/16 5:13,5MNE1Q,1682
5/30/14 5:57,ZDNTT7,1962
4/1/16 20:17,VOR12L,4042
2/26/17 13:01,IWTQ5T,1042
8/3/15 11:17,YEB8I4,4038
8/4/16 8:00,1BRIGC,930
3/13/15 14:00,9VTGJV,659
2/23/16 4:39,JFJFGZ,3107
2/11/17 11:09,R6T7R0,1522
12/1/16 20:10,INNIQD,1863
1/28/17 3:04,IWTQ5T,2104
1/18/16 22:04,UROFMZ,2634
2/15/17 8:30,AEJF2Y,2123
12/16/16 19:58,AI5SZ4,3169
6/28/16 5:18,XUL7TT,2799
8/8/16 2:19,9VTGJV,3723
6/23/16 16:10,1TNQYO,907
2/24/17 1:59,ZZGRSM,4801
6/27/16 22:21,GCP82I,1059
1/24/16 4:52,0IBF68,1680
11/26/15 0:51,6XC4I2,4092
3/5/15 13:54,72C6Y3,4157
8/9/14 19:22,YEB8I4,148
