created_on,device_type,id,operating_system
2016-02-21 05:18:18.300,Android,0,Jawbreaker
2017-02-15 10:19:43.100,iOS,1,7
2016-05-11 08:09:16.300,iOS,2,7
2017-02-06 04:40:31.100,iOS,3,8
2016-09-22 06:29:17.200,Android,4,KitKat
2017-02-20 04:55:23.100,Android,5,KitKat
2016-07-11 06:16:20.200,iOS,6,20
2015-02-23 19:38:22.600,Amazon Fire,7,Fire1
2017-01-23 11:23:10.100,iOS,8,7
2015-02-22 15:21:02.600,Android,9,Lollipop
2016-10-05 07:57:47.200,iOS,10,8
2015-11-14 10:27:15.400,iOS,11,7
2016-08-17 20:39:10.200,iOS,12,10
2016-11-06 06:39:52.100,iOS,13,8
2016-12-15 22:23:46.100,iOS,14,10
2016-12-04 22:34:41.100,iOS,15,9
2016-05-29 03:46:47.300,Amazon Fire,16,Fire2
2017-01-15 01:52:01.100,Android,17,Marshmallow
2016-03-18 02:57:26.300,Android,18,Lollipop
2016-03-28 20:59:22.300,Android,19,Marshmallow
2015-06-07 12:36:44.600,Android,20,Marshmallow
2016-12-30 09:31:21.100,Android,21,Lollipop
2016-07-05 21:38:34.200,iOS,22,20
2016-05-11 18:05:07.300,Amazon Fire,23,Fire1
2016-07-24 05:59:18.200,iOS,24,10
2016-10-26 10:17:57.200,iOS,25,20
2016-02-22 07:32:41.300,iOS,26,7
2016-07-03 01:39:01.200,iOS,27,10
2016-07-01 23:30:04.200,Android,28,Lollipop
2015-06-05 22:32:23.600,Android,29,KitKat
2015-07-31 23:52:30.500,iOS,30,8
2017-02-27 01:25:25.100,Android,31,Jawbreaker
2015-05-28 11:57:13.600,iOS,32,9
2016-10-09 06:36:46.200,Android,33,Lollipop
2014-11-03 10:14:24.700,iOS,34,10
2015-12-17 19:17:21.400,iOS,35,8
2016-10-05 07:14:24.200,Android,36,Jawbreaker
2016-05-21 00:27:32.300,Android,37,Jawbreaker
2016-08-19 21:56:52.200,iOS,38,9
2016-02-05 16:00:39.400,Android,39,Jawbreaker
2015-09-22 02:57:56.500,iOS,40,8
2016-07-19 13:20:29.200,Android,41,Lollipop
2016-12-20 19:03:17.100,Android,42,Marshmallow
2015-06-15 03:41:53.600,iOS,43,10
2015-09-24 10:36:12.500,iOS,44,7
2016-07-02 14:28:12.200,Android,45,Lollipop
2015-05-20 12:39:20.600,Android,46,KitKat
2014-01-13 12:42:51.000,iOS,47,10
2016-12-08 13:54:12.100,iOS,48,7
2016-03-22 03:39:42.300,Android,49,Marshmallow
2016-04-16 16:50:46.300,Android,50,Marshmallow
2016-11-13 03:43:11.100,iOS,51,9
2016-07-15 18:54:26.200,Android,52,KitKat
2016-12-16 09:22:18.100,Android,53,KitKat
2015-11-08 14:01:07.400,Android,54,Marshmallow
2016-04-24 14:48:10.300,Amazon Fire,55,Fire1
2016-01-29 11:08:09.400,iOS,56,10
2016-10-01 13:52:41.200,iOS,57,7
2016-02-10 17:32:33.400,iOS,58,7
2016-05-05 10:50:16.300,iOS,59,7
2016-11-30 00:19:38.100,iOS,60,9
2015-08-27 13:55:12.500,iOS,61,8
2016-06-10 11:43:04.300,Android,62,Marshmallow
2015-12-05 15:22:20.400,iOS,63,8
2014-11-14 04:38:03.700,Android,64,Marshmallow
2015-10-31 22:32:57.400,iOS,65,20
2017-02-26 07:53:50.100,iOS,66,7
2016-08-21 21:05:33.200,iOS,67,20
2015-02-05 09:31:33.700,Android,68,Lollipop
2015-11-17 00:50:48.400,iOS,69,10
2017-01-27 08:23:45.100,iOS,70,10
2014-10-27 20:59:47.700,Android,71,KitKat
2016-04-24 19:48:57.300,iOS,72,8
2016-08-02 21:15:52.200,Android,73,Lollipop
2016-01-07 18:40:58.400,iOS,74,10
2015-10-28 11:27:13.400,Android,75,Marshmallow
2016-12-24 16:01:29.100,Amazon Fire,76,Fire2
2016-10-01 11:54:48.200,iOS,77,7
2016-12-30 09:06:07.100,iOS,78,8
2017-01-24 14:12:39.100,Android,79,Lollipop
2015-04-03 08:28:56.600,Android,80,Marshmallow
2016-11-15 05:35:19.100,iOS,81,8
2016-12-24 22:44:26.100,iOS,82,8
2016-02-06 02:57:25.400,Android,83,KitKat
2016-12-17 05:45:01.100,Android,84,Lollipop
2016-03-11 14:23:08.300,iOS,85,7
2016-07-25 13:37:55.200,Android,86,Jawbreaker
2016-11-19 10:04:09.100,Android,87,KitKat
2016-02-23 20:38:22.300,Amazon Fire,88,Fire2
2017-01-18 07:56:53.100,Android,89,Lollipop
2015-08-12 00:18:07.500,iOS,90,20
2016-10-16 18:33:34.200,Amazon Fire,91,Fire1
2015-08-23 18:43:25.500,Amazon Fire,92,Fire2
2015-04-04 04:40:00.600,iOS,93,9
2014-12-09 15:30:41.700,Android,94,Lollipop
2017-02-28 13:38:35.100,iOS,95,9
2015-11-26 04:29:05.400,Android,96,Jawbreaker
2015-02-19 06:00:35.600,Android,97,Jawbreaker
2016-11-28 14:40:56.100,iOS,98,20
2016-11-15 19:08:31.100,iOS,99,10
2016-12-21 00:43:47.100,Android,100,Marshmallow
2016-10-10 06:19:34.200,iOS,101,8
2016-11-03 13:16:53.100,Android,102,KitKat
2015-01-23 01:33:46.700,Android,103,Jawbreaker
2016-01-12 04:18:52.400,Android,104,Marshmallow
2016-06-07 11:50:20.300,Android,105,Marshmallow
2015-11-27 18:43:23.400,iOS,106,20
2015-10-21 14:38:46.400,iOS,107,7
2016-04-25 01:31:28.300,iOS,108,8
2016-01-29 12:07:08.400,iOS,109,7
2016-12-23 05:01:38.100,Android,110,KitKat
2017-02-23 18:35:49.100,iOS,111,10
2015-01-02 22:50:38.700,Android,112,KitKat
2015-08-28 08:52:34.500,Android,113,KitKat
2014-12-20 03:49:49.700,Android,114,Marshmallow
2015-12-07 00:21:53.400,iOS,115,20
2015-03-04 14:55:20.600,Android,116,Marshmallow
2016-03-23 03:22:20.300,iOS,117,8
2016-05-03 08:48:45.300,iOS,118,9
2017-01-09 11:46:14.100,iOS,119,9
2014-08-01 17:41:54.800,Android,120,KitKat
2015-10-04 04:07:45.500,Android,121,Jawbreaker
2016-02-09 14:36:54.400,Android,122,KitKat
2016-01-19 16:57:54.400,Amazon Fire,123,Fire2
2016-10-23 22:47:48.200,Android,124,Jawbreaker
2017-02-06 12:23:23.100,Amazon Fire,125,Fire2
2015-11-01 07:34:15.400,iOS,126,10
2017-01-25 19:59:33.100,Android,127,Jawbreaker
2013-12-27 03:27:16.000,Android,128,Jawbreaker
2017-02-12 22:35:46.100,Android,129,Marshmallow
2015-12-23 21:44:26.400,iOS,130,20
2016-05-24 05:47:04.300,Android,131,Marshmallow
2016-06-13 14:15:13.300,iOS,132,7
2015-10-06 02:43:19.500,Android,133,Jawbreaker
2017-02-20 18:59:26.100,iOS,134,20
2017-02-28 21:00:27.100,Android,135,Jawbreaker
2017-01-08 09:01:51.100,iOS,136,9
2017-01-02 19:43:19.100,Android,137,Marshmallow
2015-08-17 18:08:09.500,Android,138,KitKat
2017-02-15 14:16:20.100,Android,139,Lollipop
2015-02-13 12:50:36.600,iOS,140,7
2014-12-09 17:42:41.700,iOS,141,8
2016-01-31 16:20:17.400,iOS,142,9
2016-10-05 10:44:31.200,iOS,143,20
2014-10-19 12:30:17.700,Amazon Fire,144,Fire2
2016-10-10 10:58:49.200,Android,145,KitKat
2014-07-26 02:33:24.800,Android,146,KitKat
2016-07-22 22:37:28.200,Android,147,Marshmallow
2014-08-09 19:23:18.800,Amazon Fire,148,Fire2
2016-11-09 02:20:10.100,iOS,149,7
2017-02-11 00:17:14.100,iOS,150,20
2016-04-04 14:31:15.300,iOS,151,20
2016-11-13 13:48:20.100,iOS,152,20
2016-03-19 04:16:50.300,iOS,153,9
2015-11-07 23:07:39.400,iOS,154,7
2015-07-02 16:32:14.500,Android,155,Marshmallow
2016-05-07 18:28:52.300,Android,156,Lollipop
2016-11-27 23:59:48.100,Android,157,KitKat
2017-01-24 12:48:56.100,iOS,158,8
2016-10-14 23:38:51.200,iOS,159,7
2014-08-26 05:05:09.800,Android,160,Lollipop
2016-07-27 19:09:19.200,Android,161,Jawbreaker
2016-04-04 09:30:17.300,iOS,162,20
2016-12-31 03:00:48.100,iOS,163,10
2017-01-14 20:25:10.100,Android,164,Lollipop
2016-07-31 16:23:20.200,iOS,165,10
2015-03-30 18:23:41.600,Android,166,Marshmallow
2016-08-14 10:58:21.200,Amazon Fire,167,Fire2
2016-11-20 18:31:05.100,iOS,168,8
2016-04-30 12:18:21.300,iOS,169,20
2015-04-27 20:05:58.600,Android,170,Jawbreaker
2016-12-19 16:01:13.100,iOS,171,8
2016-07-02 15:32:49.200,Android,172,Jawbreaker
2017-01-28 00:53:41.100,iOS,173,10
2016-11-24 00:00:33.100,Android,174,KitKat
2016-06-08 17:37:37.300,Amazon Fire,175,Fire2
2015-11-26 10:26:50.400,Android,176,Lollipop
2015-03-26 09:25:35.600,iOS,177,8
2016-01-14 00:05:39.400,Android,178,Jawbreaker
2015-11-21 04:33:25.400,Android,179,Jawbreaker
2016-11-10 13:15:33.100,Android,180,KitKat
2016-11-21 06:22:42.100,Android,181,KitKat
2016-12-31 19:19:12.100,Android,182,Marshmallow
2014-09-12 09:19:57.800,Android,183,Jawbreaker
2017-01-11 06:58:38.100,iOS,184,8
2016-01-07 04:28:37.400,Amazon Fire,185,Fire1
2015-12-20 15:30:04.400,Android,186,KitKat
2016-04-09 22:11:22.300,iOS,187,8
2017-01-03 20:48:11.100,Amazon Fire,188,Fire1
2016-11-10 01:59:19.100,Amazon Fire,189,Fire2
2015-10-30 21:11:59.400,iOS,190,9
2017-01-28 19:31:45.100,Android,191,Lollipop
2016-12-28 03:32:21.100,iOS,192,9
2013-11-12 16:19:55.000,iOS,193,7
2016-04-19 08:05:51.300,Android,194,KitKat
2016-02-27 00:23:31.300,iOS,195,9
